ukprn,kiscourseid,programme,crseurl
10007774,RR4R,Spanish and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQK4,Spanish and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ41,Spanish and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RQ47,Spanish and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT4P,Spanish and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR45,Spanish and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRK7,Spanish and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RTK6,Spanish and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R4R7,Spanish with Polish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,V600,Theology and Religion,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/theology-and-religion
10007774,T600,Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
